"id";"descripcion";"precio";"oficinas_id";"cod_SPAFE";"cod_MINCYT";"cuentas_idcuentas"
140;"Escritorio 140x70cm base en aluminio anodizado natural, tapa melamina - Tapafalda melaminico de largo 120 x 30 cm de alto
";200000.0;0;"";28149;450
141;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28150;0
142;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28151;0
143;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28152;0
144;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28153;0
145;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28154;0
146;"Puesto 2 posiciones 140 x 70 sin Panel divisor, NO COMPARTIDO.";150000.0;0;"";28155;0
147;"Mesa de reunión 270 x 120, tapa melamina.
";350000.0;0;"";28156;579
148;"Perchero, Ac. Inox.

		
";40000.0;0;"";28157;628
149;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28178;294
150;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28179;294
151;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28180;294
152;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28181;294
153;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28182;294
154;"Mochila con puerta rebatible y cerradura 80 x h 40 x prof. 35cm.";100000.0;0;"";28183;294
155;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28184;339
156;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28185;339
157;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28186;339
158;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28187;339
159;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28188;339
160;"Cajonera rodante de Melamina de 3 cajones, con cerradura multiple NUMLOCK, 47 x H.58cm.x 45.";80000.0;0;"";28189;339
161;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28190;294
162;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28191;294
163;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28192;294
164;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28193;294
165;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28194;294
166;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28195;294
167;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28196;294
168;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28197;294
169;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28198;294
170;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28199;294
171;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28200;294
172;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28201;294
173;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28202;294
174;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28203;294
175;"Mochila con puerta rebatible y cerradura. Medidas: 0,80 x 0,37 x 0,35 m.
";100000.0;277;"";28204;294
176;"Bajo mesada blanco de dos puertas con cajonera. Medidas: 0,80 x 0,73 x 0,60 m.
";100000.0;277;"";28205;303
177;"Bajo mesada blanco de dos puertas con cajonera. Medidas: 0,80 x 0,73 x 0,60 m.
";100000.0;277;"";28206;303
178;"Bajo mesada blanco de dos puertas con cajonera. Medidas: 0,80 x 0,73 x 0,60 m.
";100000.0;277;"";28207;303
179;"Bajo mesada blanco de dos puertas con cajonera. Medidas: 0,77 x 0,73 x 0,40 cm.
";100000.0;277;"";28208;303
180;"Bajo mesada blanco de dos puertas con cajonera. Medidas: 0,77 x 0,73 x 0,40 cm.
";100000.0;277;"";28209;303
181;"Bajo mesada blanco de dos puertas con cajonera. Medidas: 0,77 x 0,73 x 0,40 cm.
";100000.0;0;"";28210;303
182;"Bajo mesada blanco de dos puertas con cajonera. Medidas: 0,77 x 0,73 x 0,40 cm.
";100000.0;0;"";28211;303
183;"Biblioteca con puertas y cerradura 96 x H192,5 x 40.5cm 6 estantes regulables.";100000.0;0;"";28212;315
184;"Biblioteca con puertas y cerradura 96 x H192,5 x 40.5cm 6 estantes regulables.";100000.0;0;"";28213;315
185;"MESA - Base de aluminio pintado blanco, de 4 rayos. Tapa circular de melamina blanca, de diametro 100cm . Altura 74cm.
";180000.0;0;"";28214;578
186;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28215;677
187;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28216;677
188;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;277;"";28217;677
189;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;277;"";28218;677
190;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;0;"";28219;677
191;"Silla , asiento y respaldo plástico, apilable, base trineo pintada color ALUMINIO.
";20000.0;277;"";28220;677
192;"Perchero, Ac. Inox.

		
";40000.0;0;"";28221;628
193;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.
";100000.0;0;"";28222;679
194;"Sillon , respaldo con tela de red y asiento tapizado, giratoria, mecanismo syncro multipoint, regulable en altura, brazos fijos, apoyo lumbar regulable, base estrella plastica con ruedas de 60mm.";100000.0;0;"";28223;679
